locale,change,key
az,added,"app.developing"
az,added,"feedback.rightPrefix"
az,added,"accessibility.autoSpeakOn"
az,added,"accessibility.autoSpeakOff"
az,added,"menu.hello"
az,added,"menu.appTitle"
az,added,"menu.random.title"
az,added,"menu.random.subtitle"
az,added,"menu.parentTips.title"
az,added,"menu.parentTips.subtitle"
az,added,"menu.letterSound.title"
az,added,"menu.letterSound.subtitle"
az,added,"menu.objects.title"
az,added,"menu.objects.subtitle"
az,added,"menu.concepts.title"
az,added,"menu.concepts.subtitle"
az,added,"menu.reasoning.title"
az,added,"menu.reasoning.subtitle"
az,added,"menu.fineMotor.title"
az,added,"menu.fineMotor.subtitle"
az,added,"menu.achievements.categories.fineMotor"
az,added,"menu.achievements.fineMotor.lineTracing"
az,added,"menu.achievements.fineMotor.shapeColoring"
az,added,"menu.achievements.fineMotor.rhythmFollowing"
az,added,"reasoning.title"
az,added,"reasoning.activities.whatDoesntBelong.title"
az,added,"reasoning.activities.whatDoesntBelong.subtitle"
az,added,"reasoning.activities.functionalMatching.title"
az,added,"reasoning.activities.functionalMatching.subtitle"
az,added,"reasoning.activities.causeEffect.title"
az,added,"reasoning.activities.causeEffect.subtitle"
az,added,"reasoning.activities.sequencingStories.title"
az,added,"reasoning.activities.sequencingStories.subtitle"
az,added,"reasoning.activities.patternCompletion.title"
az,added,"reasoning.activities.patternCompletion.subtitle"
az,added,"reasoning.activities.sudoku.title"
az,added,"reasoning.activities.sudoku.subtitle"
az,added,"reasoning.activities.memoryCards.title"
az,added,"reasoning.activities.memoryCards.subtitle"
az,added,"reasoning.activities.memoryCards.instruction"
az,added,"reasoning.activities.memoryCards.memorizeTitle"
az,added,"reasoning.activities.memoryCards.playTitle"
az,added,"communication.title"
az,added,"communication.subtitle"
az,added,"communication.composeHint"
az,added,"communication.printHint"
az,added,"communication.finishSelection"
az,added,"communication.addToBasket"
az,added,"communication.finishSelectionAria"
az,added,"communication.selectForPrintAria"
az,added,"communication.clearSentenceAria"
az,added,"communication.speakSentenceAria"
az,added,"communication.selectCardsForCategory"
az,added,"communication.printSelectionHelp"
az,added,"communication.printSelectionCount"
az,added,"communication.removeFromBasket"
az,added,"communication.printBasketTitle"
az,added,"communication.basketEmpty"
az,added,"communication.basketEmptyHelp"
az,added,"communication.clear"
az,added,"communication.clearBasketAria"
az,added,"communication.printSelectedAria"
az,added,"communication.printPoolLimitWarning"
az,added,"communication.printPoolLimitTooMany"
az,added,"communication.categories.ihtiyaclar"
az,added,"communication.categories.eylemler"
az,added,"communication.categories.duygular"
az,added,"communication.categories.kisiler"
az,added,"communication.categories.yerler"
az,added,"communication.categories.esyalar"
az,added,"communication.categories.hayvanlar"
az,added,"communication.categories.tasitlar"
az,added,"settingsEx.title"
az,added,"settingsEx.premium.title"
az,added,"settingsEx.premium.desc"
az,added,"settingsEx.premium.cta"
az,added,"settingsEx.profile.title"
az,added,"settingsEx.profile.active"
az,added,"settingsEx.profile.manage"
az,added,"settingsEx.theme.title"
az,added,"settingsEx.general.title"
az,added,"settingsEx.mute.title"
az,added,"settingsEx.mute.subtitle"
az,added,"settingsEx.autoSpeak.title"
az,added,"settingsEx.autoSpeak.subtitle"
az,added,"settingsEx.fastMode.title"
az,added,"settingsEx.fastMode.subtitle"
az,added,"settingsEx.content.title"
az,added,"settingsEx.banButton.title"
az,added,"settingsEx.banButton.subtitle"
az,added,"settingsEx.manageBanned.title"
az,added,"settingsEx.manageBanned.subtitle"
az,added,"settingsEx.activityManagement.title"
az,added,"settingsEx.data.title"
az,added,"settingsEx.reset.title"
az,added,"settingsEx.reset.subtitle"
az,added,"settingsEx.reset.confirm"
az,added,"settingsEx.about.title"
az,added,"settingsEx.privacy.title"
az,added,"settingsEx.privacy.subtitle"
az,added,"settingsEx.privacy.read"
az,added,"settingsEx.backToSettingsAria"
az,added,"achievements.title"
az,added,"achievements.subtitle"
az,added,"achievements.viewReportAria"
az,added,"achievements.completed"
az,added,"achievements.categories.letterSound"
az,added,"achievements.categories.objects"
az,added,"achievements.categories.concept"
az,added,"achievements.categories.reasoning"
az,added,"common.previous"
az,added,"common.next"
az,added,"letters.groups"
az,added,"letters.letters"
az,added,"completion.heading"
az,added,"completion.msg.low"
az,added,"completion.msg.mid"
az,added,"completion.msg.high"
az,added,"completion.restart"
az,added,"completion.home"
az,added,"story.readStory"
az,added,"themes.simple"
az,added,"themes.balon"
az,added,"themes.gunes"
az,added,"themes.tilki"
az,added,"themes.ay"
az,added,"themes.geceorman"
az,added,"themes.yagmur"
az,added,"themes.kus"
az,added,"themes.tilki2"
az,added,"themes.kedi"
az,added,"themes.kar"
az,added,"themes.gunbatimi"
az,added,"themes.ay2"
az,added,"themes.zurafa"
az,added,"themes.geometri"
az,added,"tabs.activities"
az,added,"tabs.communication"
az,added,"tabs.achievements"
az,added,"tabs.settings"
az,added,"activityMgmt.title"
az,added,"activityMgmt.objects"
az,added,"activityMgmt.concepts"
az,added,"activityMgmt.reasoning"
az,added,"activityMgmt.fineMotor"
az,added,"activityMgmt.enableAll"
az,added,"activityMgmt.enableAllHelp"
az,added,"activityMgmt.lineTracing"
az,added,"activityMgmt.shapeColoring"
az,added,"activityMgmt.rhythmFollowing"
az,added,"consent.title"
az,added,"consent.body"
az,added,"consent.accept"
az,added,"consent.viewPolicy"
az,added,"letters.noWordsForGroup"
az,added,"letters.couldNotCreateForLetter"
az,added,"letters.syllableRestarting"
az,added,"objects.noTestForCategory"
az,added,"objects.activityRestarting"
az,added,"categories.objectsIntl.noCuratedSet"
az,added,"app.noContentForActivity"
