id,occurrences
1,1735
2,1523
3,1090
4,1255
5,952
6,663
7,594
8,638
9,368
10,346
11,220
12,294
13,158
14,148
15,160
16,195
17,91
18,173
19,81
20,232
21,167
22,150
23,83
24,341
25,195
26,70
27,95
28,149
29,47
30,77
31,39
32,126
33,42
34,37
35,70
36,52
37,57
38,30
39,38
40,89
41,48
42,63
43,77
44,36
45,112
46,41
47,48
48,73
49,37
50,259
51,33
52,120
53,36
54,29
55,114
56,60
57,33
58,25
59,53
60,170
61,28
62,27
63,49
64,51
65,64
66,35
67,40
68,24
69,29
70,161
71,23
72,61
73,43
74,25
75,145
76,25
77,29
78,51
79,97
80,165
81,24
82,48
83,39
84,30
85,57
86,22
87,26
88,49
89,23
90,67
91,20
92,21
93,22
94,13
95,29
96,20
97,15
98,26
99,25
100,301
101,19
102,25
103,12
104,19
105,57
106,23
107,22
108,13
109,15
110,57
111,15
112,31
113,24
114,38
115,75
116,24
117,28
118,20
119,12
120,16
121,32
122,16
123,23
124,37
125,48
126,25
127,11
128,27
129,23
130,19
131,7
132,9
133,10
134,33
135,17
136,22
137,27
138,13
139,21
140,15
141,16
142,19
143,12
144,14
145,13
146,12
147,27
148,44
149,21
150,21
151,11
152,10
153,28
154,10
155,8
156,32
157,17
158,21
159,16
160,10
161,12
162,19
163,11
164,12
165,13
166,14
167,14
168,16
169,11
170,20
171,20
172,11
173,8
174,14
175,13
176,8
177,18
178,13
179,10
180,31
181,13
182,24
183,16
184,15
185,14
186,16
187,9
188,7
189,36
190,8
191,16
192,9
193,12
194,14
195,21
196,18
197,42
198,13
199,35
200,295
201,13
202,13
203,15
204,21
205,13
206,8
207,17
208,16
209,17
210,34
211,18
212,18
213,9
214,8
215,9
216,18
217,16
218,13
219,11
220,7
221,9
222,11
223,8
224,17
225,16
226,12
227,19
228,16
229,62
230,22
231,11
232,16
233,13
234,10
235,12
236,10
237,32
238,23
239,16
240,14
241,15
242,27
243,19
244,13
245,15
246,15
247,15
248,46
249,63
250,26
251,26
252,18
253,39
254,45
255,102
256,24
257,17
258,12
259,12
260,10
261,8
262,22
263,11
264,19
265,10
266,10
267,11
268,13
269,11
270,10
271,13
272,12
273,14
274,20
275,20
276,15
277,11
278,16
279,14
280,18
281,14
282,8
283,6
284,14
285,17
286,9
287,18
288,18
289,16
290,13
291,13
292,8
293,12
294,9
295,12
296,13
297,15
298,10
299,7
300,223
301,12
302,9
303,7
304,9
305,11
306,8
307,6
308,6
309,17
310,7
311,11
312,7
313,7
314,5
315,4
316,12
317,10
318,8
319,24
320,12
321,5
322,10
323,19
324,21
325,12
326,12
327,9
328,10
329,8
330,12
331,6
332,8
333,7
334,9
335,6
336,10
337,10
