"id","occurrences"
"610","6"
"609","3"
"608","5"
"611","5"
"614","11"
"613","8"
"612","12"
"603","5"
"602","5"
"601","6"
"604","5"
"607","9"
"606","25"
"605","4"
"624","5"
"623","9"
"622","7"
"625","7"
"628","5"
"627","7"
"626","5"
"617","7"
"616","5"
"615","7"
"618","5"
"621","15"
"620","5"
"619","6"
"600","197"
"581","6"
"580","11"
"579","14"
"582","12"
"585","9"
"584","13"
"583","7"
"574","7"
"573","7"
"572","5"
"575","7"
"578","12"
"577","6"
"576","6"
"595","9"
"594","7"
"593","5"
"596","12"
"599","6"
"598","5"
"597","7"
"588","8"
"587","9"
"586","9"
"589","5"
"592","12"
"591","11"
"590","9"
"667","5"
"666","7"
"665","5"
"668","5"
"671","18"
"670","7"
"669","5"
"660","7"
"659","11"
"658","10"
"661","5"
"664","9"
"663","8"
"662","10"
"681","6"
"680","8"
"679","6"
"682","9"
"685","6"
"684","9"
"683","7"
"674","3"
"673","6"
"672","5"
"675","5"
"678","5"
"677","5"
"676","11"
"657","5"
"638","10"
"637","6"
"636","13"
"639","8"
"642","13"
"641","4"
"640","6"
"631","3"
"630","6"
"629","5"
"632","4"
"635","8"
"634","7"
"633","12"
"652","6"
"651","6"
"650","7"
"653","7"
"656","5"
"655","5"
"654","9"
"645","8"
"644","7"
"643","10"
"646","7"
"649","11"
"648","9"
"647","6"
"496","15"
"495","11"
"494","9"
"497","16"
"500","317"
"499","13"
"498","11"
"489","8"
"488","8"
"487","7"
"490","16"
"493","14"
"492","11"
"491","15"
"510","13"
"509","5"
"508","8"
"511","6"
"514","5"
"513","7"
"512","10"
"503","4"
"502","3"
"501","14"
"504","8"
"507","11"
"506","5"
"505","9"
"486","10"
"467","9"
"466","7"
"465","11"
"468","6"
"471","7"
"470","6"
"469","5"
"460","11"
"459","10"
"458","6"
"461","7"
"464","10"
"463","10"
"462","10"
"481","10"
"480","17"
"479","9"
"482","11"
"485","14"
"484","7"
"483","8"
"474","7"
"473","7"
"472","7"
"475","9"
"478","9"
"477","15"
"476","6"
"553","6"
"552","3"
"551","4"
"554","12"
"557","6"
"556","13"
"555","4"
"546","3"
"545","7"
"544","9"
"547","18"
"550","3"
"549","18"
"548","9"
"567","6"
"566","5"
"565","3"
"568","6"
"571","7"
"570","5"
"569","6"
"560","7"
"559","3"
"558","10"
"561","7"
"564","19"
"563","6"
"562","10"
"543","8"
"524","3"
"523","17"
"522","10"
"525","5"
"528","7"
"527","7"
"526","3"
"517","9"
"516","7"
"515","6"
"518","12"
"521","9"
"520","5"
"519","9"
"538","7"
"537","13"
"536","18"
"539","16"
"542","5"
"541","3"
"540","6"
"531","8"
"530","12"
"529","6"
"532","6"
"535","18"
"534","7"
"533","14"
"686","6"
"839","4"
"838","4"
"837","4"
"840","4"
"843","5"
"842","5"
"841","7"
"832","10"
"831","4"
"830","4"
"833","4"
"836","4"
"835","9"
"834","7"
"853","6"
"852","9"
"851","4"
"854","4"
"857","6"
"856","4"
"855","5"
"846","6"
"845","5"
"844","5"
"847","5"
"850","8"
"849","7"
"848","9"
"829","4"
"810","6"
"809","7"
"808","6"
"811","8"
"814","10"
"813","9"
"812","7"
"803","6"
"802","14"
"801","12"
"804","6"
"807","5"
"806","13"
"805","8"
"824","4"
"823","4"
"822","5"
"825","4"
"828","5"
"827","5"
"826","5"
"817","4"
"816","8"
"815","7"
"818","4"
"821","4"
"820","4"
"819","4"
"896","6"
"895","6"
"894","6"
"897","5"
"900","96"
"899","4"
"898","7"
"889","5"
"888","5"
"887","7"
"890","5"
"893","7"
"892","10"
"891","5"
"910","7"
"909","8"
"908","6"
"911","9"
"914","7"
"913","7"
"912","7"
"903","5"
"902","8"
"901","5"
"904","4"
"907","11"
"906","4"
"905","8"
"886","6"
